Schema:sameAs	dc:identifier	2 schema:name	schema:description	schema:url	schema:email	Scope of the Initiative	7 rdf:type	schema:streetAddress	schema:locality	Schema:country
	673334	SAIDE	SAIDE, the South African Institute for Distance Education, is a non-governmental organization based in Johannesburg but conducting projects throughout South Africa and sub-Saharan Africa. SAIDE’s task is to contribute to the development of new models of open and distance education practice, that accord with and take forward the values, principles, and goals of the evolving education systems in the Southern African region.	http://www.saide.org.za/		Institutional	schema:Organization			ZA
	673335	SAKAI	Sakai is a community that exists to enhance teaching, learning, and research. The global community comes together to define needs of academic users, create software tools, share best practices and pool knowledge and resources in support of this goal.	http://sakaiproject.org/		Institutional	schema:Organization			US
	673336	Sampoer School of Education	Indonesian School on OER	http:///www.sampoernaeducation.ac.id	info@sampoernaeducation.ac.id	National	schema:Organization	Sampoer School of Education Building, Jl. Tendean 88C	Jakharta Seletan	ID
	673337	Saylor Foundation	The mission of the Saylor Foundation is to make education freely available to all. Guided by the belief that technology has the potential to circumvent barriers that prevent many individuals from participating in traditional schooling models, the Foundation is committed to developing and advancing inventive and effective ways of harnessing technology in order to drive the cost of education down to zero.	http://www.saylor.org/		National	schema:Organization	1000 Wisconsin Avenue NW Suite 220	Washington D.C.	US
	673338	Social Learn Laboratory - SLL	Social Learning and an Open Initiative	http://sociallearnlab.org		National	schema:Organization		Beijing	CN
	673340	The MatheVital project	MatheVital is a modular, freely accessible collection of interactive material for education in math-related subjects. The material is linked not as much by common focus towards certain educational units, but rather by the project’s overall philosophy: generating content of high quality and thereby actually adding to the benefit of the computer as a medium	http://www-m10.ma.tum.de/bin/view/MatheVital/WebHome		National	schema:Service			DE
	673341	The NUMBAT project	The NuMBerS project is designed to underpin the teaching of numerical methods for the biosciences. It is built as a series of toolkits, some of which are web-based and interactive, whilst others are currently printable files.	http://web.anglia.ac.uk/numbers/project.html		Institutional	schema:Service			GB
	673342	TESSA-Teacher Education in Sub-Saharan Africa	TESSA is an international research and development initiative which brings together teachers and teacher educators from across sub-Saharan Africa. It offers a range of materials (Open Educational Resources) in four languages to support school based teacher education and training. 	http://www.tessafrica.net		Regional	schema:Organization		Milton Keynes	US
	673343	The OpenFiction Project	An OpenCourseWare resource for teaching and learning the art of fiction writing. The OpenFiction Project was created by Stephen Carson and contains the materials that he developed for a distance learning introductory fiction class, originally offered through Emerson College's continuing education programme. (Stephen Carson works for the MIT OpenCourseWare initiative.) Course materials are available on the site or for download (as a zip file of the live contents or as a PDF). There is also an online forum to support users.	http://www.tofp.org/index.htm	contact@tofp.org	Institutional	schema:Service			US
	673345	The World Lecture Project - WLP	The central platform for videos in any language worldwide.	http://www.world-lecture-project.org/		Global	schema:Service	Reichenberger Stasse 98	Berlin	DE
	673346	Thompson Rivers University	A member of the OERu consortium	http://www.tru.ca/distance		Global	schema:Organization	900 McGill Road	Kamloops, BC	CA
http://lobid.org/oer/9fb4f060-c922-4fcf-a49e-462204126c55#!	673347	Tokyo Tech Open Course Ware	A member of the Japan OCW Alliance, Tokyo Tech OCW is a platform maintained by Tokyo Institute of Technology for providing free access to course materials in English and Japanese for users around the world.	http://www.ocw.titech.ac.jp/index.php?lang=EN		Institutional	schema:Service			JP
http://lobid.org/oer/1a347c6d-289f-4354-8030-b25c556cdae5#!	673348	TUFTSOPENCOURSEWARE	Tufts OCW provides access to course materials, including syllibi, lecture notes and reading lists. The initial offering relects the University's strength in the life sciences, and demonstrates a multidisciplinary approach and international perspective.	http://ocw.tufts.edu/	ocwfeedback@tufts.edu	Institutional	schema:Service			US
	673349	Twenty Million Minds Foundation	20 Million Minds has three major initiatives (1) OER, (2) meshbook , and (3) virtual community colleges	http://www.20mm.org/		Institutional	schema:Organization		New York	US
	673350	UNESCO OER Platform		-		Global	schema:Service	1, rue Miollis	Paris	FR
	673351	Unicycle Project	The OER project provides an opportunity for Leeds Met to identify materials of value to other institutions and partners and release some of our well-established materials currently located on our skills for learning site	http://unicycle-leedsmet.ning.com/		Institutional	schema:Service			GB
http://lobid.org/oer/b9d9e002-645e-4700-800a-b6f2b71bc004#!	673352	Unisul Virtual	UnisulVirtual is a private university located in the state of Santa Catarina in the south of Brazil. The motivation for UnisulVirtual to join the OER movement was to collaborate with the Open University (OU) of the United Kingdom in the provision of OER.	http://www.unisul.br	jucimara@unisul.br	National	schema:Service		Catalina	BR
	673354	United Nations University OpenCourseWare	Showcases the training and educational programmes implemented by UNU in a wide range of areas relevant to the work of the United Nations. Courses are available from the following UNU research and training centres.	http://ocw.unu.edu/		Institutional	schema:Organization			PL
	673356	Universidad Arturo Michelena	OpenCourseWare (OCW) is an example of the initiatives emerging in recent years to promote free, unlimited access to learning.	http://uam.edu.ve		National	schema:Organization	Av. Principal Giovanni Nani Sector la Cumaca San Diego	Valencia	VE
	673357	Universidad Autonom de Guadalajara	Autonomous University	http://www.uag.mx		National	schema:Organization		Guadalajara	MX
http://lobid.org/oer/7d4549f2-5854-47aa-b26d-42db5aaf8895#!	673358	Universidad de Cantabria	Open University in Spain	http://www.unican.es/webuc/internet/		Regional	schema:Organization	Avenida de Los Castros s\/n 39005 Santander	Santander	ES
	673359	Universidad de Cauca	Colombian University	http://www.unicauca.edu.co		Institutional	schema:Organization			CO
	673360	Universidad de la Republica	Uraguayan University	http://www.cse.edu.uy		Regional	schema:Organization	Jos\u00e9 Enrique Rodo 1854	Montevideo	UY
	673361	Universidad de Montemorelos	Spanish University	http://um.edu.mx		National	schema:Organization	Av. Libertad, 1300 Pte	Montmorelos	MX
	673362	Universidad de Palermo	Argentinian University with OER	www.palermo.edu		Regional	schema:Organization	Av. Cordoba 3501, esq Mario Bravo	Buenos Aires	AR
	673363	Universidad Nacional Autonoma de México, Facultad de Filosofia y Letras, Colegio de Pedagogia	The fundamental aim of the UNAM is to serve both the country and humanity, train professionals, organize and carry out research, mainly on national problems and conditions, and offer cultural benefits in the broadest sense possible.	http://www.unam.mx/acercaunam/en/		National	schema:Organization	Ave. Universidad 3000	Mexico D.f.	MX
	673364	Universidad Técnica Particular de Loja	University on line	http://www.utpl.edu.ec	vasuarez@utpl.edu.ec	Regional	schema:Organization	Ciudedella Universitaria UTPL, San Cayetano Alto-Loja	Loja	EC
	673365	Universidad Yacambu	University Online	http://www.uny.edu.ve		Regional	schema:Organization	Campus 1, Parque Residencial La Mora	Barquisimeto	VE
	673366	Universidade Aberta -Uab	Open University of Lisbon	http://www.uab.pt		National	schema:Organization		Lisbon	PT
http://lobid.org/oer/4e07ae12-bc2b-4ddf-a5b0-118d252ba3f0#!	673367	Universitat Oberta de Catalunya	Online Catalonian University	http://www.uoc.edu		Regional	schema:Organization	Av. Tibidabo 39-43	Barcelona	ES
	673368	University of Arizona Searchable Video Library (SVL)	Designed to increase accessibility of course content for University of Arizona staff and students, this web site is also available to the general public. The SVL provides access to video presentations and taped class lectures.	http://vala.arizona.edu/vss-bin/vss_SR.exe/torpey/search		Regional	schema:Service		Tuscon, AZ	US
	673369	University of California eScholarship Repository	A repository of academic research output, including working papers and postprints of previously published, peer-reviewed articles, and seminar materials, selected and deposited by individual University of California units and faculty.	http://escholarship.org/		Regional	schema:Service		CA	US
http://lobid.org/oer/33590ded-0907-45e2-bcd0-aaaee9dc2911#!	673371	UCT Open Content	The UCT OpenContent directory is the web portal for accessing open teaching and learning content from UCT.	http://opencontent.uct.ac.za/		Institutional	schema:Service	Private Bg, Rondebosch 7700	Cape Town	ZA
	673372	University of Distant Education	Spanish University	http://www.uned.es/catedraunesco-ead/curriculum.htm		Global	schema:Organization			ES
	673373	University of Duisburg Essen	University practices at work within the Univesity	http://www.uni-due.de		Institutional	schema:Organization	Universit\u00e4tstrasse 9	Essen	DE
	673374	University of Education, Winneba	The University admits people into various Distance Education, Full-Time, Part-Time and Sandwich	http://www.uew.edu.gh		Global	schema:Organization		Winneba	GH
	673375	University of Leicester	The University of leicester has an e-learning programme	http://www.le.ac.uk		National	schema:Organization	103-105 Princess Road east	Leicester	GB
	673376	University of Malta	Open University of Malta	http://www.um.edu.mt/		National	schema:Organization	University of Malta	Msida	MT
	673377	University of Maryland	Open Resources	http://www.umuc.edu/		Regional	schema:Organization		Baltimore, MA	US
http://lobid.org/oer/276820fe-520c-40f9-a1a2-cb29f40c2962#!	673378	University of Michigan	University of Michigan is developing OER to support health education in Africa.	http://www.umich.edu/		Regional	schema:Organization		Ann Arbor, MI	US
	673379	University of Mumbai, Institute of Distant and Open Learning	Institute of Distance and Open Education to the University of Mumbai	http://www.mu.ac.in		Regional	schema:Organization		Mumbai	IN
	673380	University of Namibia	Journalism School	http://www.unam.na		Global	schema:Organization	Main Campus, Mandume Ndemufayo Avenue	Windhoek	NA
	673381	University of Naples Frederico II		http://www.federica.Unina.it		Institutional	schema:Organization	Corso Umberto 1	Naples	IT
	673382	EUROMIME (University of Poitiers)	EUROMIME is a European Master in Media Engineering for Education. It trains project managers in the field of design, development and implementation of educational and training programs resorting to computer mediated environments. It also trains researchers specializing the study of the use of use of these technologies	http://www.euromime.org		National	schema:Service		Poitiers	FR
	673383	University of Queensland	University's open course line strategy	http://www.uq.edu.au	longpd@uq.edu.au	National	schema:Organization		Brisbane	AU
	673384	University of Sao Paolo	University's open resource center	http://www.usp.br		National	schema:Organization		Sao Paolo	BR
http://lobid.org/oer/18c074cd-82eb-47df-a42d-175cd9e553e3#!	673385	University of Seville		http://investigacion.us.es/sisius/sis_showpub.php?idpers=1347		National	schema:Organization		Seville	ES
	673386	University of Seville IDEA	IDEA	http://prometeo.us.es/idea		National	foaf:Project		Seville	ES
	673387	University of South Africa	As Africa's leading open distance learning institution, we offer internationally accredited qualifications and have world-class resources that inspire learners to create meaningful futures on their own terms.	http://www.unisa.ac.za	diescj@unisa.ac.za	National	schema:Organization	Preller Street, Muckleneuk Ridge	Pretoria	ZA
	673388	University of Southern California YouTube channel	Launched in October 2007, a couple of weeks after UC Berkeley's channel, USC's channel includes videos of course lectures and campus events. YouTube users can choose to subscribe to the full USC channel, or sub-channels from individual schools.	http://www.youtube.com/usc	enter@usc.edu	Institutional	schema:Service			US
	673389	University of Southern Queensland OpenCourseWare	A sample offering of 10 distance education courses from each of the five faculties of the university, including three courses from its Tertiary Preparation Program. The courses are published in either ICE (Integrated Content Environment), an open source.	http://ocw.usq.edu.au/		National	schema:Service		Southern Queensland	AU
http://lobid.org/oer/58679702-f036-4bb3-8989-d41f71668306#!	673390	University of the People	University of the People is the world’s first tuition free online academic institution dedicated to the global advancement and democratization of higher education.	www.UoPeople.org		Institutional	schema:Organization			US
	673391	University of the West Indies - Open campus	Open learning Center of the University	http://www.open.uwi.edu		National	schema:Organization	P.o. Box 1341	Bridgetown, BB 11000	BB
http://lobid.org/oer/445dd4c6-d376-444a-b70a-81099b04b11d#!	673392	University of the Western Cape Free Courseware Project	The South African University of the Western Cape is the only African member of the Open Courseware Consortium and started publishing courses in 2007. In addition to the institutional courseware publication, UWC also hosts the Rip-Mix-Learn research group	http://freecourseware.uwc.ac.za/		Regional	schema:Service			ZA
http://lobid.org/oer/c9e40d42-2640-4a72-a555-5b5126633862#!	673393	University of Tokyo OpenCourseWare	A member of the Japan OCW Alliance, University of Tokyo OCW is a free and open publication of course calendars, syllabi, educational notes and texts, in both Japanese and English. UT OCW plans to add 10 new courses every year.	http://ocw.u-tokyo.ac.jp/english/index.html	utocw@tree.ep.u-tokyo.ac.jp	Institutional	schema:Service			JP
	673394	Laboratoire de Recherche en Technologies de L'Information et de la Communication & Génie Electrique, University of Tunis	A repository network sharing learning tools	www.utic.rnu.tn		Global	schema:Service		Tunis	TN
	673396	UniversitySurf	A French language e-learning portal, hosted by the University of Bourgogne. UniversitySurf offers free and open access to teaching materials and resources from French universities and schools, national research centres (CNRS), Francophone universities.	http://icb.u-bourgogne.fr/universitysurf/	hubert.berger@u-bourgogne.fr	Institutional	schema:Service		Dijon	FR
	673397	U-Now	U-Now is a JISC funded initiative aims to serve as a window onto the courses provided by the University of Nottingham, and to increase learning opportunities for learners who cannot undertake formal qualifications. It also aims to advance pedagogy across the academic community.	http://www.nottingham.ac.uk/open/toolsandservices/u-now.aspx		Institutional	schema:Service	King's Meadow Campus	Nottingham	GB
	673398	USAID	USAID is an independent federal government agency that receives overall foreign policy guidance from the Secretary of State. Our work supports long-term and equitable economic growth and advances U.S. foreign policy objectives by supporting: economic grow	http://www.usaid.gov/		Institutional	schema:Organization		Washington D.C.	US
	673399	SCORE	SCORE is based at the Open University and funded by HEFCE as a three year project (2009-2012) to support individuals, projects, institutions and programmes across the higher education sector in England as they engage with creating, sharing and using open educational resources (OER).	http://www8.open.ac.uk/score/	SCORE@open.ac.uk	National	foaf:Project		Milton Keynes	GB
http://lobid.org/oer/b296b865-16a5-4e7e-8825-4a75827bfc00#!	673400	Utah State University OpenCourseWare	A free and open educational resource offering high quality materials that are used in the teaching of undergraduate and graduate subjects at USU. Materials are available on the Internet, free of charge, to any user anywhere in the world.	http://ocw.usu.edu/		Institutional	schema:Service			US
	673401	Vietnam Open Education Resources	Vietnam Open Educational Resources (VOER) is a program supported by the Vietnam Foundation (VNF) to help bring high quality and up-to-date textbooks and learning materials for Vietnamese students, faculty members and self-learners.	www.voer.edu.vn	voer@voer.edu.vn	Regional	schema:Service	The Vietnam Foundation, Newtatco Bld, 21 Lang Ha	Hanoi	VN
	673402	Virtual Activism	"Virtual Activism has provided ""invaluable services which most organizations and institutions from Africa would have not ever been able to access due to the high cost involved in getting them."""	http://www.virtualactivism.org		Global	schema:Organization		Rhode Island	US
	673403	Virtual Center for Innovative Learning Technologies	The virtual centre for innovative learning technologies (vcilt) is responsible for providing and developing on-line web-based education and telelearning at the university and throughout the country.	http://vcampus.uom.ac.mu		Institutional	schema:Service	University of Mauritius, Royal Road, Reduit	MOKA	MU
	673404	Virtual Courseware Project	A project of the US National Science Foundation and California State University to create interactive, online simulations for the life science laboratory or for earth science field studies. The activities are designed to enhance an existing curriculum.	http://www.sciencecourseware.com/		Institutional	schema:Service			US
	673405	Virtual University of Guadalajara	State University on line.	http://www.udgvirtual.udg.mx		Regional	schema:Organization			MX
	673406	Virtual University of the Small States of the Commonwealth	The Virtual University for Small States of the Commonwealth (VUSSC)  is a network initiated by and built on the support of Ministers of Education of developing small states of the Commonwealth.	www.vussc.info		Institutional	schema:Organization			GB
	673407	Vivek College of Education	A Law School in Distance Learning	http://vivekcollege.org		National	schema:Organization	Noorpur Road, Bijnor 246701	Uttar Pradesh	IN
	673408	Wasasan Open University	Malaysian Open University	http://wou.edu.my		National	schema:Organization		Kuala Lumpur	MY
http://lobid.org/oer/aa225442-c6b5-4038-a41d-5a99d4e23c0c#!	673409	Waseda University OpenCourseWare	A member of the Japan OCW Alliance, Waseda OCW is a collection of Osaka University's educational materials, in both Japanese and English, used in the courses taught at the University.	http://www.waseda.jp/ocw/index_e.html	ocw@list.waseda.jp	National	schema:Service			JP
	673410	Western Governors University	American Virtual University with online courses	http://www.wgu.edu		National	schema:Organization	4001 S 700 E, Suite 700	Salt Lake City, UT 84121	US
	673411	WikiBooks	Wikibooks is a collection of open-content textbooks that anyone, including you, can edit right now by clicking on the edit this page link that appears near the top of each Wikibooks module. Contributors maintain the property rights to their contributions.	http://www.wikibooks.org/	erik@wikimedia.org	Global	schema:Service			US
	673412	Wikiversity	A wiki-based learning community for the creation and use of open content learning materials, courses and textbooks. Wikiversity is currently hosted by Wikibooks, although a formal proposal has been submitted to make it an independent project of the Wikimedia.	http://en.wikibooks.org/wiki/Wikiversity	info@wikimedia.org	Institutional	schema:Service			US
	673413	Wikiwjs	It is an open, online platform of open educational resources. Teachers and learners can find, download, adapt and re-upload resources.	http://www.wikiwijsleermiddelenplein.nl/	info@wikiwijs.nl	National	schema:Service		The Hague	NL
	673414	Windows to the Universe	se website is a richly interlinked ecosystem for learning about the Earth and Space sciences for use by the general public, students, and teachers.	http://www.windows2universe.org/		Regional	schema:Service		Boulder, CO	US
	673415	Winona State University	Open repository	http://www.winona.edu/		Regional	schema:Organization	Winona	Minnesota	US
	673416	Wisconsin Online Resource Center	Online Resource System	http://www.wisc-online.com/		Regional	schema:Service		Wisconsin	US
	673417	Wisimar Educational Institute	Die wisamar Bildungsgesellschaft ist ein vom Deutschen Institut für Erwachsenenbildung akkreditiertes Kompetenz- und Dialogzentrum für ProfilPASS-Beratungen. Zudem sind wir zertifizierter Träger nach dem Recht der Arbeitsförderung (AZAV). Wir führen Kompetenzanalysen, Bewerbungstraining, Bildungsberatung sowie verschiedene Weiterbildungsmodule mit unseren lokalen Partnern durch.	http://www.wisamar.de	info@wisamar.de	Regional	schema:Organization	Heinrichstr.39\/41	Leibzig	DE
	673418	World Lecture Hall	World Lecture Hall publishes links to pages created by faculty worldwide who are using the Web to deliver course materials in any language. Some courses are delivered entirely over the Internet. Others are designed for students in residence.	http://oic.id.ucsb.edu/faculty-handbook-teaching/teaching-learning/world-lecture-hall	tia@id.ucsb.edu	Global	schema:Service		California	US
	673419	XPERT	Hosted by the University of Nottingham, XPERT (Xerte Public E-learing ReposiTory) was a JISC funded collaborative (JISC TechDis, SHERPA, University of Bolton, University of Nottingham) rapid innovation project (summer 2009)	http://xpert.nottingham.ac.uk/	xpert@nottingham.ac.uk	Institutional	schema:Service		Nottingham	GB
	673420	YouTube Edu	Portal for all videos and channels from colleges and universities with a presence on YouTube (mainly US institutions).	http://www.youtube.com/education		Global	schema:Service		California	US
	673421	ZNWL - Zambia national Women's Lobby	Zambia National Women’s Lobby (ZNWL) is a non partisan, non profit making and membership driven Non - Governmental Organisation formed in 1991.	http://womenslobby.org.zm	nwlg@zamnet.zm	National	schema:Organization	7 Njoka Road, Olympia Park, Off Kwacha Road, P.O. Box 30342	Lusaka	ZM
	673422	ZOPE Foundation	Our community includes the open source community of contributors to the Zope software, contributors to the documentation and web infrastructure, as well as the community of businesses and organizations that use Zope.	http://www.zope.org/	jim@zope.com	Global	schema:Organization		Washington D.C.	US
	673423	ZUM.DE Project	The Zentrale für Unterichtsmedien im Internet e.V. (abbrev. ZUM.DE or ZUM) is a charitable association founded September 11, 1997. Its goal is to use and shape the internet to make it a viable teaching and learning aid for all types of school as well as extracurricular education within the German-speaking area. The Wiki-family of ZUM, launched in 2008, is a free service, enabling schools and universities to set up their own independent Wiki.	http://www.zum.de/		National	schema:Service			DE
	673424	TRUE	Teaching Resources for Undergraduate Economics (TRUE) is a set of sub-sites on which lecturers share teaching materials in  fourteen specialist areas of Economics.	http://www.economicsnetwork.ac.uk/projects/oer		National	schema:Service		Bristol	GB
	673425	Athabasca UNESCO Chair for OER	A UNESCO Chair in OER supporting OER community interaction and network building. The next focus is on a collaborative mapping of OER initiatives to inform communication about OER and promote networking and collaboration.	http://www.athabascau.ca/		Global	schema:Organization		British Columbia	CA
	673426	EduTube	EduTube is an educational video search website where one can find, watch and download videos from different hosting sites (such as YouTube, Google Video and MetaCafe), using education relevant search criteria.	http://www.edutube.org/de		Institutional	schema:Service			DE
	673427	Globewide Network Academy	GNA is a 501(c)(3) non-profit whose purpose is the research and development of open source tools that promote distance learning and online communities. We are happy to share our research, and code and to provide support services to other open source project.	http://www.doceos.us/center-globewide_network_academy-i10871.htm		National	schema:Service		Austin TX	US
	673428	Keio University Open Courseware	A member of the Japan OCW Alliance, Keio Open Courseware is openly available educational content from Keio University’s courses, including syllabi and lecture notes, in both English and Japanese.	http://keio-ocw.sfc.keio.ac.jp/index_en.html		National	schema:Service		Keio	JP
	673429	LeMill	LeMill is a web community of 2848 teachers and other learning content creators. At the moment LeMill has 1446 reusable learning content resources, 295 descriptions of teaching and learning methods, and 477 descriptions of teaching and learning tools.	http://lemill.net/		Global	schema:Service			FI
	673430	OPAL	OPAL aims to improve the quality of higher education and adult education by mainstreaming innovative OER practices to transform education and training.	http://www.oer-quality.org		Regional	foaf:Project			SI
	673431	Open Learning Initiative (OLI)	Through the OLI project, Carnegie Mellon is working to help the World Wide Web make good on its promise of widely accessible and effective online education.	http://oli.web.cmu.edu/openlearning/		Institutional	schema:Service			US
	673432	Open Source Electronic Learning Tool	The Project Team will undertake a work-plan leading to the open-source release of a software learning tool, “Java Bread-Board”, or ‘JBB’. The JBB toolset currently exists as a tool-set at the University of York and has been used for learning objectives.	www.york.ac.uk	chrisb@cs.york.ac.uk	Institutional	foaf:Project		York	GB
http://lobid.org/oer/2d087762-39ff-49de-b001-c8a744bddecf#!	673433	Open.Michigan	Open.Michigan is a University of Michigan initiative that enables faculty, students, and others to share their educational resources and research with the global learning community.	http://open.umich.edu/	open.michigan@umich.edu	National	schema:Service		Ann Arbor	US
	673435	People's Open Access Education Initiative (Peoples-uni)	Use of OER, open source delivery platform and volunteer tutors and support staff to offer Public Health education to health professionals in developing countries to Masters level.	http://peoples-uni.org	contact@peoples-uni.org	Global	schema:Service		Manchester	GB
	673436	PhET Interactive Simulations	PhET Interactive Simulations Project is a collection of over 100 simulations for teaching and learning science and math. These simulations are highly-interactive environments where students engage like scientists to discover key concepts.	http://phet.colorado.edu	phethelp@colorado.edu	Global	schema:Service	University of Colorado	Boulder, CO	US
	673437	OER Commons	OER Commons is the first comprehensive open learning network where teachers and professors (from pre-K to graduate school) can access their colleagues’ course materials, share their own, and collaborate on affecting today’s classrooms. It uses Web 2.0,	http://www.oercommons.org/		 National	schema:Service		Moon Bay, CA	US
	673438	WikiEducator	A collaborative authoring environment using wiki technology in conjuction with eXe (eLearning XHTML editor) for recontextualising and customising open e-content with the ability to export resources using interoperability specifications (IMS &amp; SCORM).	http://wikieducator.org/Main_Page		Global	schema:Service			NZ
	831160	african health oer network	Inspired by potential benefits of Open Educational Resources (OER), in mid-2009, over 40 faculty and staff representing eight health science institutions from across Africa came together to discuss the formation of network to share openly licensed health educational materials developed by and targeted toward their African colleagues. At the meeting, participants jointly developed a Vision for a Health OER Network in Africa, which envisioned a network of African institutions that would harness OER to share knowledge, address curriculum gaps, and build communities of practice around healthcare education. Our code of conduct guides participation in the Network. Our aim is to position the Network as a leader in sharing educational resources for health, dramatically expanding African health educators’ global impact and influence and strengthening the Network as a point of reference for learning and teaching materials for educators and learners across the African continent and ultimately worldwide. Learn more about the services we offer. The Network is co-facilitated by OER Africa, an initiative of the South African Institute for Distance Education, and the University of Michigan. The Network has been supported by several grants from the Hewlett Foundation.	http://www.oerafrica.org/african-health-oer-network/about-us		National	schema:Organization			
	831161	international database of educational objets	"The Educational Repository is an online service for collecting, preserving and providing access to data of research publications and digital content worldwide produced. Enhance your studies, add dynamism to your lessons and conduct your researches with an array of the best-produced digital objects.
 At the moment, there are 19.662 available objects and 149 are being evaluated or are awaiting their author's authorization to be published. The current total number of access is 4.357.339."	http://objetoseducacionais2.mec.gov.br/?locale=en		Global	schema:Service			
http://lobid.org/oer/0c74896e-b2c9-41a0-9c22-259bf1ce2c63#!	831162	commonwealth of learning	COL's news feeds on open and distance learning are RSS feeds that aggregate and filter content from reliable web sources selected by COL. A wide range of studies, reports, research documents, guides and other resources have been published by COL. Most are available for download, free-of-charge, on this web site.	http://www.col.org/Pages/default.aspx		Global	schema:Service			
http://lobid.org/oer/23a86495-9a13-4beb-be34-59de1784dfd7#!	831163	connexions	Connexions is a dynamic digital educational ecosystem consisting of an educational content repository and a content management system optimized for the delivery of educational content. Connexions is one of the most popular open education sites in the world. Its more than 17,000 learning objects or modules in its repository and over 1000 collections (textbooks, journal articles, etc.) are used by over 2 million people per month. Its content services the educational needs of learners of all ages, in nearly every discipline, from math and science to history and English to psychology and sociology. Connexions delivers content for free over the Internet for schools, educators, students, and parents to access 24/7/365. Materials are easily downloadable to almost any mobile device for use anywhere, anytime. Schools can also order low cost hard copy sets of the materials (textbooks).	http://cnx.org/aboutus/		Institutional	schema:Service			
	831164	Consortium for the Advancement of Undergraduate Statistics Education	"A national organization whose mission is to support and advance undergraduate statistics education, in four target areas:
resources, professional development, outreach, and research."	https://www.causeweb.org/		Institutional	schema:Organization			
	831165	culturally authentic pictorial lexicon	"Welcome to the Culturally Authentic Pictorial Lexicon, CAPL, the source for authentic images for language learning. As a language teacher and learner, I always seek to connect language, culture, and meaning. This site represents my interest to not only write about language learning, but provide concrete examples.

Our world rich in diversity, both linguistic and visual, and often the connection between word and image can be lost. As commercial globalization brings the world together through 'common products', we sometimes forget how our visual perception of the world affects our use of words and the meanings they convey.

Is a house really a Haus, is pain really хлеб, and when we see red cabbage, is it really red? These are simple and mundane questions that underscore the fact that visual perception is culturally determined and visual cognition varies from culture to culture.

The CAPL project seeks to explore this idea through a collection of authentic photographs arranged by language and context. In the coming year, we will add more photos, more databases, and more textual descriptions. Check back often as we expand our collection.

It is our hope that the collection itself can spur research in a variety of areas and that the collection can be used by language teachers and learners throughout the world with its generous Creative Commons license."	http://capl.washjeff.edu/about.php		Institutional	schema:Service			
	831166	Curriki	"Curriki is an open community of educators, parents, and students who share Open Educational Resources. We’ve been curating best in class learning materials since 2006.

With 9 million unique visitors and over 54,000 resources for teachers, Curriki’s website reaches an audience of educators across the globe – only 50% of members are from the United States. Curriki offers educators, parents, and students a global community to share materials and develop curriculum together. And now, as Curriki continues to seek better ways to support the all educators, they have developed courses that weave these resources together into thoughtful, standards-based projects.

Curriki is a non-profit 501(c)(3) corporation."	http://www.curriki.org/welcome/	jpinto@curriki.org	Global	schema:Organization	20660 Stevens Creek Boulevard, #332	Cupertino	US
	1134490	Learning from WOeRK	"The Learning from WOeRK project is a HEFCE-funded Open Educational Resources (OER) programme (through JISC and the Higher Education Academy)managed through the University of Plymouth. With funding for a period of 12 months until 31st August 2011, the project is developing resources to support learning in the workplace, which will be published as open resources on the JorumOPEN website and University’s Uplace repository. 

The project is seeking to develop resources across three key areas:
- Research Methods, led by Mel Joyner
- Leadership, led by Hilary Duckett
- Work Based Learning, led by Mel Parker

The Higher Education Academy and JISC are working in partnership to develop the HEFCE-funded Open Educational Resources (OER) programme, supporting UK higher education institutions in sharing their teaching and learning resources freely online across the world.

The OER produced by the project are published and searchable on the Jorum (www.jorum.ac.uk) and UPlaCe repositories (http://uplace.org.uk) using the tag: LFWOER.  They can also be accessed through a gateway on this website: http://cpdoer.net/collections.

Further information about the work of the project can be found on the project website."	http://cpdoer.net/	stephen.gomez@plymouth.ac.uk		foaf:Project			
	1154722	Mobiles for Development	"The Commonwealth of Learning (COL) and the Indian Institute of technology (IIT) Kanpur has launched a new MOOC: Mobiles for Development.

This course is open and free to any learner. There are no pre-requisites. Any interested individual may register and participate.

The course which will be fully open-licensed CC BY SA is about important concepts and practices in mobile technologies that are relevant to learning and education, agricultural extension and rural credit and finance.

It starts from 2 October, 2013 – enroll now!"	http://m4d.colfinder.org/			schema:Service			
	1168446	Opening up Education	"The European Commission launches 'Opening up Education' to boost innovation and digital skills in schools and universities.

The Commission today launches a new website, Open Education Europa, which will allow students, practitioners and educational institutions to share free-to-use open educational resources.

A joint initiative led by Androulla Vassiliou, Commissioner for Education, Culture, Multilingualism and Youth, and Neelie Kroes, Commission Vice-President, responsible for the Digital Agenda, Opening up Education focuses on three main areas:

      - Creating opportunities for organisations, teachers and learners to innovate;

      - Increased use of Open Educational Resources (OER), ensuring that educational materials produced with public funding are available to all; and

      - Better ICT infrastructure and connectivity in schools."	http://www.openeducationeuropa.eu/			foaf:Project			
